"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Belize","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","25.2",""
"Belize","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","30.6",""
"Belize","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","36.2",""
"Benin","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","102.1",""
"Benin","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","105.9",""
"Benin","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","111.3",""
"Benin","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","116.4",""
"Benin","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","109.7",""
"Benin","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","114.3",""
"Benin","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","120.5",""
"Benin","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","128.1",""
"Bhutan","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","48.1",""
"Bhutan","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","63.8",""
"Bhutan","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","80.8",""
"Bhutan","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","96.4",""
"Bhutan","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","57.2",""
"Bhutan","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","75.4",""
"Bhutan","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","94.0",""
"Bhutan","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","111.2",""
"Bolivia","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","51.0",""
"Bolivia","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","62.8",""
"Bolivia","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","70.8",""
"Bolivia","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","84.0",""
"Bolivia","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","60.0",""
"Bolivia","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","70.3",""
"Bolivia","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","79.2",""
